Particle Number, Viscosity, Pressure, Trans Temp, Rot Temp
38, 124.45519, 16.4954, 1.0181, 0.9984
40, 93.30214, 16.0288, 1.0178, 1.0029
42, 97.31004, 15.5699, 1.0307, 0.9925
44, 113.56213, 15.2616, 1.0227, 0.9966
46, 115.58187, 14.8278, 1.0229, 1.0038
38, 101.12248, 16.4131, 1.0186, 1.0014
40, 130.23218, 16.0188, 1.0202, 1.0041
42, 152.84497, 15.6416, 1.0138, 1.007
44, 159.87528, 15.2429, 1.0278, 1.0054
46, 108.18281, 14.9001, 1.0334, 1.0081
38, 68.42895, 16.4677, 1.0295, 0.9978
40, 107.47715, 16.0481, 1.0232, 0.9958
42, 60.09263, 15.4748, 1.038, 0.996
44, 106.79062, 15.2767, 1.0309, 1.0042
46, 86.59907, 14.854, 1.0241, 0.9981
38, 60.15974, 16.3961, 1.0139, 0.9999
40, 166.9031, 16.0724, 1.0326, 1.0082
42, 111.72796, 15.7316, 1.0214, 1.0067
44, 186.46574, 15.4239, 1.0274, 0.9968
46, 149.73689, 14.8867, 1.0228, 1.003
38, 53.80296, 16.4058, 1.0278, 0.9979
40, 263.34688, 16.2572, 1.0295, 1.0039
42, 171.83327, 15.4796, 1.0147, 0.9905
